Date,Sleep Duration (hours),REM Sleep (%),Heart Rate (bpm),Sleep Quality
2024-11-1,6.34,20.94,60,Poor
2024-11-2,6.24,15.02,71,Poor
2024-11-3,7.77,27.86,77,Poor
2024-11-4,5.73,16.22,67,Poor
2024-11-5,6.72,11.09,65,Poor
2024-11-6,7.66,20.48,75,Poor
2024-11-7,6.65,19.04,76,Poor
2024-11-8,7.05,22.3,65,Good
2024-11-9,5.61,19.08,65,Poor
2024-11-10,7.5,19.43,74,Poor
2024-11-11,7.72,15.18,61,Poor
2024-11-12,6.76,18.76,75,Poor
2024-11-13,5.27,19.81,60,Poor
2024-11-14,7.76,13.95,62,Poor
2024-11-15,7.15,17.06,64,Poor
2024-11-16,5.87,13.43,65,Poor
2024-11-17,6.6,26.67,78,Poor
2024-11-18,7.39,10.06,61,Poor
2024-11-19,5.39,17.59,71,Poor
2024-11-20,6.74,24.26,60,Poor
2024-11-21,7.02,17.29,71,Poor
2024-11-22,7.07,15.26,63,Poor
2024-11-23,6.47,14.6,60,Poor
2024-11-24,5.03,27.78,70,Poor
2024-11-25,5.31,21.12,62,Poor
2024-11-26,7.85,20.92,67,Good
2024-11-27,7.76,13.68,80,Poor
2024-11-28,5.06,26.22,60,Poor
2024-11-29,5.91,15.8,67,Poor
2024-11-30,7.35,14.09,62,Poor
2024-11-31,6.74,17.53,75,Poor
2024-11-32,5.86,27.53,75,Poor
2024-11-33,5.24,19.01,76,Poor
2024-11-34,7.93,22.15,62,Good
2024-11-35,7.47,26.3,75,Poor
2024-11-36,6.88,17.49,60,Poor
2024-11-37,5.23,20.37,63,Poor
2024-11-38,5.91,14.98,78,Poor
2024-11-39,5.03,17.4,65,Poor
2024-11-40,6.33,15.6,71,Poor
2024-11-41,5.87,17.23,79,Poor
2024-11-42,6.45,17.75,67,Poor
2024-11-43,7.4,22.68,64,Good
2024-11-44,5.17,25.46,68,Poor
2024-11-45,6.22,29.46,77,Poor
2024-11-46,7.7,29.24,70,Good
2024-11-47,7.51,28.36,79,Poor
2024-11-48,5.86,28.87,60,Poor
2024-11-49,6.27,18.58,75,Poor
2024-11-50,7.67,19.36,65,Poor
2024-11-51,7.51,14.63,67,Poor
2024-11-52,5.32,24.36,67,Poor
2024-11-53,7.96,26.17,76,Poor
2024-11-54,6.8,18.85,63,Poor
2024-11-55,7.72,11.82,68,Poor
2024-11-56,5.0,22.09,72,Poor
2024-11-57,5.53,13.53,67,Poor
2024-11-58,7.3,22.01,72,Poor
2024-11-59,6.37,11.41,79,Poor
2024-11-60,5.44,11.24,67,Poor
2024-11-61,5.16,10.15,64,Poor
2024-11-62,7.89,18.03,70,Poor
2024-11-63,6.45,14.62,71,Poor
2024-11-64,7.27,18.46,74,Poor
2024-11-65,7.36,29.92,61,Good
2024-11-66,6.72,20.07,66,Poor
2024-11-67,5.15,12.06,63,Poor
2024-11-68,5.03,11.48,77,Poor
2024-11-69,6.15,14.71,68,Poor
2024-11-70,5.93,17.21,61,Poor
2024-11-71,5.2,11.47,75,Poor
2024-11-72,5.72,23.03,61,Poor
2024-11-73,5.59,28.25,68,Poor
2024-11-74,6.68,26.03,73,Poor
2024-11-75,7.96,11.99,66,Poor
2024-11-76,7.96,15.05,73,Poor
2024-11-77,6.38,19.04,73,Poor
2024-11-78,5.55,24.55,72,Poor
2024-11-79,7.62,26.13,78,Poor
2024-11-80,6.19,21.36,68,Poor
2024-11-81,7.55,20.31,61,Good
2024-11-82,6.6,12.76,74,Poor
2024-11-83,7.35,29.24,63,Good
2024-11-84,6.58,10.47,72,Poor
2024-11-85,7.75,29.46,64,Good
2024-11-86,6.38,21.89,70,Poor
2024-11-87,7.74,28.92,69,Good
2024-11-88,5.16,14.83,78,Poor
2024-11-89,6.01,18.64,62,Poor
2024-11-90,6.42,26.04,70,Poor
2024-11-91,7.36,14.1,74,Poor
2024-11-92,5.9,27.42,73,Poor
2024-11-93,6.25,19.92,72,Poor
2024-11-94,5.57,28.87,65,Poor
2024-11-95,6.32,21.0,68,Poor
2024-11-96,7.65,22.46,78,Poor
2024-11-97,7.11,23.19,63,Good
2024-11-98,5.92,18.47,76,Poor
2024-11-99,7.36,17.26,60,Poor
2024-11-100,7.15,10.31,77,Poor
